code_barrios,name_barrios,noise_pollution,noise_units,pm_10,pm_units,carbon_monoxide,co_units,rainfall,rain_units,solar_radiation,solar_units,temperature,temp_units,trees_density,trees_units,mpi_index
151,Ventas,100.13,61.69,99.34,35.8,91.51,0.31,97.63,4.41,109.16,203.51,100.18,15.67,104.9,1645.74,100.71
202,Hellin,95.51,60.86,93.6,34.13,91.51,0.31,91.63,3.98,102.3,201.23,96.92,15.36,75.37,5169.79,93.16
92,Arguelles,105.58,62.67,106.69,37.94,119.72,0.4,98.61,4.48,96.49,199.3,105.01,16.13,102.78,1898.82,105.52
45,Lista,112.59,63.93,109.47,38.75,91.51,0.31,98.75,4.49,101.3,200.9,108.37,16.45,92.1,3172.36,102.71
152,Pueblo Nuevo,96.79,61.09,96.65,35.02,88.37,0.3,95.54,4.26,108.35,203.24,97.55,15.42,86.69,3817.97,96.23
46,Castellana,120.77,65.4,105.87,37.7,94.64,0.32,100.84,4.64,99.86,200.42,110.47,16.65,85.61,3947.39,103.82
74,Almagro,123.94,65.97,102.36,36.68,107.18,0.36,102.51,4.76,98.35,199.92,117.18,17.29,93.31,3028.88,107.49
73,Trafalgar,115.04,64.37,103.39,36.98,116.58,0.39,102.79,4.78,97.45,199.62,116.55,17.23,99.41,2300.98,107.98
72,Arapiles,110.87,63.62,104.9,37.42,119.72,0.4,102.51,4.76,96.73,199.38,109.21,16.53,100.65,2152.32,106.92
71,Gaztambide,108.03,63.11,104.7,37.36,116.58,0.39,100.84,4.64,96.1,199.17,106.16,16.24,98.89,2362.71,104.91
153,Quintana,96.18,60.98,95.97,34.82,88.37,0.3,91.35,3.96,103.35,201.58,99.34,15.59,99.66,2270.47,96.59
201,Simancas,95.01,60.77,93.15,34.0,88.37,0.3,90.09,3.87,100.31,200.57,97.34,15.4,103.18,1850.39,95.65
44,Guindalera,109.14,63.31,103.87,37.12,94.64,0.32,94.7,4.2,103.17,201.52,104.48,16.08,89.14,3526.26,100.38
154,Concepcion,99.35,61.55,97.1,35.15,88.37,0.3,90.51,3.9,103.38,201.59,99.44,15.6,94.05,2940.58,96.33
75,Rios Rosas,116.04,64.55,100.61,36.17,107.18,0.36,105.59,4.98,97.72,199.71,110.05,16.61,104.43,1701.77,106.29
76,Vallehermoso,111.03,63.65,104.73,37.37,110.31,0.37,104.61,4.91,95.79,199.07,106.06,16.23,104.38,1707.33,105.51
155,San Pascual,102.86,62.18,98.24,35.48,91.51,0.31,88.56,3.76,104.22,201.87,98.29,15.49,105.14,1616.47,98.81
207,Canillejas,91.73,60.18,86.45,32.05,91.51,0.31,84.65,3.48,92.36,197.93,96.82,15.35,104.43,1701.26,93.03
205,Rosas,93.51,60.5,95.52,34.69,94.64,0.32,92.46,4.04,104.07,201.82,97.13,15.38,114.2,535.93,99.4
208,Salvador,94.07,60.6,91.16,33.42,88.37,0.3,86.04,3.58,96.37,199.26,96.82,15.35,100.01,2228.32,93.53
206,Rejas,87.84,59.48,98.17,35.46,94.64,0.32,91.21,3.95,99.68,200.36,97.66,15.43,109.78,1062.29,97.5
91,Casa de Campo,75.88,57.33,78.99,29.88,88.37,0.3,95.12,4.23,99.2,200.2,95.56,15.23,115.88,335.12,94.66
51,El Viso,117.48,64.81,101.95,36.56,100.91,0.34,101.68,4.7,100.34,200.58,107.42,16.36,96.95,2594.25,104.26
53,Ciudad Jardin,120.38,65.33,107.31,38.12,97.77,0.33,93.16,4.09,103.44,201.61,101.86,15.83,96.72,2621.75,103.73
52,Prosperidad,113.7,64.13,104.22,37.22,94.64,0.32,92.19,4.02,103.62,201.67,101.96,15.84,95.02,2824.51,101.31
156,San Juan Bautista,106.08,62.76,99.06,35.72,91.51,0.31,83.67,3.41,105.91,202.43,92.83,14.97,89.87,3439.38,96.31
62,Cuatro Caminos,113.42,64.08,102.15,36.62,104.04,0.35,110.61,5.34,97.51,199.64,105.95,16.22,94.74,2857.54,104.49
161,Palomas,88.73,59.64,76.34,29.11,91.51,0.31,80.32,3.17,86.64,196.03,96.29,15.3,97.63,2512.47,88.91
61,Bellas Vistas,110.81,63.61,103.91,37.13,107.18,0.36,112.56,5.48,95.49,198.97,104.8,16.11,109.05,1150.26,106.56
54,Hispanoamerica,118.6,65.01,105.83,37.69,97.77,0.33,95.81,4.28,102.9,201.43,99.65,15.62,94.85,2844.34,102.86
162,Piovera,95.13,60.79,87.51,32.36,88.37,0.3,82.83,3.35,95.7,199.04,94.72,15.15,104.96,1638.03,93.31
157,Colina,108.59,63.21,99.61,35.88,91.51,0.31,79.9,3.14,107.59,202.99,86.11,14.33,96.37,2663.81,96.86
66,Berruguete,108.81,63.25,101.23,36.35,100.91,0.34,119.96,6.01,95.1,198.84,101.33,15.78,113.89,571.76,106.61
211,Alameda de Osuna,84.06,58.8,97.79,35.35,94.64,0.32,85.76,3.56,92.42,197.95,97.13,15.38,107.68,1313.71,94.89
63,Castillejos,114.48,64.27,102.12,36.61,100.91,0.34,115.36,5.68,97.57,199.66,102.28,15.87,97.52,2526.33,104.86
97,Aravaca,90.84,60.02,87.1,32.24,94.64,0.32,99.58,4.55,96.67,199.36,95.14,15.19,106.06,1507.04,96.11
158,Atalaya,109.14,63.31,99.27,35.78,91.51,0.31,81.86,3.28,107.2,202.86,87.58,14.47,93.17,3045.31,96.73
55,Nueva Espana,115.2,64.4,102.7,36.78,97.77,0.33,98.19,4.45,102.87,201.42,97.66,15.43,103.55,1806.51,102.93
163,Canillas,99.74,61.62,91.19,33.43,91.51,0.31,81.16,3.23,102.15,201.18,89.36,14.64,102.91,1883.19,94.67
215,Corralejos,86.56,59.25,80.71,30.38,91.51,0.31,81.16,3.23,87.12,196.19,96.4,15.31,114.14,543.0,92.55
94,Valdezarza,101.97,62.02,98.92,35.68,100.91,0.34,116.47,5.76,93.03,198.15,91.67,14.86,101.98,1993.92,101.36
65,Valdeacederas,105.03,62.57,99.75,35.92,100.91,0.34,129.73,6.71,94.38,198.6,95.87,15.26,92.81,3088.2,104.2
64,Almenara,110.92,63.63,100.5,36.14,97.77,0.33,124.85,6.36,96.64,199.35,97.97,15.46,103.77,1780.36,105.62
95,Valdemarin,92.07,60.24,85.04,31.64,97.77,0.33,102.1,4.73,96.37,199.26,95.03,15.18,112.54,733.1,98.03
213,Casco Historico de Barajas,91.45,60.13,99.68,35.9,94.64,0.32,88.98,3.79,95.31,198.91,97.45,15.41,108.34,1234.23,96.96
93,Ciudad Universitaria,97.24,61.17,94.04,34.26,100.91,0.34,100.42,4.61,93.51,198.31,91.04,14.8,117.28,167.25,99.98
96,El Plantio,92.73,60.36,85.0,31.63,97.77,0.33,102.1,4.73,97.99,199.8,96.71,15.34,114.03,555.33,98.85
