station;year;month;day;period;LAEQ;LAS01;LAS10;LAS50;LAS90;LAS99
12;2019;12;30;T;062.2;070.8;063.9;059.9;051.3;043.0
13;2019;12;30;D;057.5;065.4;059.8;055.8;052.7;051.2
13;2019;12;30;E;057.1;064.4;059.4;055.8;052.7;051.2
13;2019;12;30;N;053.8;062.5;055.6;051.2;050.1;049.2
13;2019;12;30;T;056.5;064.6;059.0;054.6;050.6;049.7
14;2019;12;30;D;065.0;071.7;066.1;063.6;061.1;058.4
14;2019;12;30;E;064.0;070.4;065.9;063.2;060.5;057.8
14;2019;12;30;N;059.8;066.7;063.2;058.0;051.5;047.5
14;2019;12;30;T;063.6;070.0;065.7;062.6;055.3;048.9
16;2019;12;30;D;062.4;068.0;065.3;061.4;053.2;047.1
16;2019;12;30;E;061.9;067.9;065.3;060.6;051.6;045.4
16;2019;12;30;N;056.9;066.5;061.8;048.3;039.4;038.0
16;2019;12;30;T;061.1;067.7;064.8;059.2;042.6;038.3
17;2019;12;30;D;056.6;064.9;059.4;054.4;050.0;046.9
17;2019;12;30;E;074.8;071.3;060.5;054.6;049.8;046.7
17;2019;12;30;N;056.8;067.1;054.4;046.3;042.1;040.7
17;2019;12;30;T;067.3;065.1;058.8;052.6;043.5;041.2
18;2019;12;30;D;058.7;068.9;059.6;053.5;048.3;045.5
18;2019;12;30;E;056.7;068.8;057.6;051.7;047.5;045.8
18;2019;12;30;N;049.5;058.9;052.0;045.8;043.6;043.1
18;2019;12;30;T;056.8;067.1;058.0;050.8;044.6;043.2
19;2019;12;30;D;060.4;067.7;063.4;058.1;053.4;050.3
19;2019;12;30;E;060.0;067.4;063.1;057.8;052.8;049.2
19;2019;12;30;N;055.4;065.7;058.9;050.1;042.2;038.7
19;2019;12;30;T;059.1;067.2;062.6;056.3;046.4;040.2
20;2019;12;30;D;061.3;069.9;063.7;058.5;054.6;051.1
20;2019;12;30;E;059.9;068.3;063.3;057.7;052.1;047.7
20;2019;12;30;N;054.1;064.8;057.0;047.9;040.7;039.1
20;2019;12;30;T;059.7;068.7;062.8;056.6;043.9;039.5
24;2019;12;30;D;052.3;058.6;054.9;050.9;047.7;046.1
24;2019;12;30;E;049.2;056.8;052.0;047.4;045.1;043.8
24;2019;12;30;N;045.6;052.8;048.5;044.0;041.6;041.0
24;2019;12;30;T;050.4;057.7;053.6;048.4;042.6;041.2
25;2019;12;30;D;067.5;070.6;068.8;067.3;065.9;064.2
25;2019;12;30;E;067.4;070.9;068.5;066.9;065.1;063.2
25;2019;12;30;N;062.4;067.7;065.7;061.4;053.5;047.0
25;2019;12;30;T;066.4;069.9;068.4;066.5;058.6;049.4
26;2019;12;30;D;062.2;068.4;065.4;060.2;057.2;055.4
26;2019;12;30;E;061.5;067.8;064.7;059.7;057.1;055.4
26;2019;12;30;N;058.0;067.0;061.2;055.7;048.3;045.2
26;2019;12;30;T;061.0;067.8;064.7;058.9;052.2;046.3
27;2019;12;30;D;062.6;072.6;067.2;056.0;048.0;043.8
27;2019;12;30;E;062.4;072.1;066.0;056.9;052.6;049.2
27;2019;12;30;N;057.7;070.1;059.5;050.4;043.1;040.7
27;2019;12;30;T;061.5;072.0;065.6;054.6;045.8;041.5
28;2019;12;30;D;068.9;075.7;072.7;066.5;057.2;051.4
28;2019;12;30;E;067.2;074.9;071.4;063.9;053.2;045.4
28;2019;12;30;N;060.6;072.7;064.3;048.7;040.7;038.8
28;2019;12;30;T;067.1;075.1;071.7;062.4;043.6;039.4
29;2019;12;30;D;058.6;067.9;062.3;054.6;047.6;043.0
29;2019;12;30;E;055.3;064.9;060.0;049.9;043.7;039.1
29;2019;12;30;N;049.9;062.6;052.0;038.8;033.4;032.2
29;2019;12;30;T;056.5;066.1;060.9;050.3;035.5;032.5
30;2019;12;30;D;060.9;066.4;062.4;058.3;054.0;051.1
30;2019;12;30;E;059.3;065.9;061.8;057.5;053.0;050.7
30;2019;12;30;N;052.9;062.7;055.8;048.8;044.8;043.0
30;2019;12;30;T;059.1;065.8;061.6;056.3;046.6;043.5
31;2019;12;30;D;064.9;073.5;069.7;059.0;052.2;049.2
31;2019;12;30;E;065.0;073.1;069.6;060.4;053.6;049.2
31;2019;12;30;N;052.4;064.6;052.3;046.9;042.2;040.0
31;2019;12;30;T;063.3;072.9;068.5;055.0;044.7;040.7
47;2019;12;30;D;054.2;065.1;056.0;049.7;045.5;043.1
47;2019;12;30;E;054.1;065.5;054.6;047.7;044.4;043.0
47;2019;12;30;N;050.9;061.7;048.5;043.4;040.1;039.0
47;2019;12;30;T;053.3;064.4;054.6;047.6;041.9;039.3
48;2019;12;30;D;063.3;068.4;065.6;062.8;058.1;054.3
48;2019;12;30;E;063.2;068.4;065.8;062.5;057.3;054.3
48;2019;12;30;N;058.3;065.3;061.8;056.5;048.1;042.4
48;2019;12;30;T;062.2;067.9;065.1;061.5;053.0;044.3
50;2019;12;30;D;065.9;071.8;067.1;064.3;061.2;058.7
50;2019;12;30;E;065.1;070.4;066.8;063.9;060.5;057.6
50;2019;12;30;N;061.6;071.0;063.9;057.9;051.0;046.7
50;2019;12;30;T;064.7;071.3;066.6;063.1;055.0;048.3
54;2019;12;30;D;061.6;067.2;064.4;060.7;056.5;052.3
54;2019;12;30;E;062.3;067.9;064.9;061.5;056.7;050.3
54;2019;12;30;N;054.3;064.1;058.4;049.5;043.8;042.0
54;2019;12;30;T;060.4;067.0;063.9;059.2;046.4;042.6
55;2019;12;30;D;058.3;068.3;060.9;053.6;048.9;046.0
55;2019;12;30;E;055.9;064.3;058.5;052.4;048.5;045.3
55;2019;12;30;N;051.7;061.8;053.9;047.7;043.4;042.0
55;2019;12;30;T;056.6;066.0;059.3;051.7;045.3;042.4
86;2019;12;30;D;057.8;066.8;061.0;053.6;047.5;043.9
86;2019;12;30;E;056.6;066.0;060.2;052.6;045.6;040.1
86;2019;12;30;N;049.7;061.8;050.2;040.3;037.6;036.7
86;2019;12;30;T;056.1;066.0;059.6;050.4;038.6;037.1
2;2019;12;29;D;068.1;074.3;068.9;064.8;061.4;059.1
2;2019;12;29;E;069.7;077.0;070.7;068.3;065.1;062.4
2;2019;12;29;N;068.2;074.5;070.0;066.7;061.7;058.0
2;2019;12;29;T;068.4;075.5;069.8;066.0;061.8;058.9
3;2019;12;29;D;059.5;067.6;062.1;057.4;051.6;048.0
3;2019;12;29;E;061.9;070.0;064.2;060.1;056.2;052.0
3;2019;12;29;N;061.3;071.4;064.0;058.4;054.1;049.5
3;2019;12;29;T;060.6;069.9;063.2;058.2;052.7;048.6
5;2019;12;29;D;060.1;066.7;062.4;058.3;052.7;048.2
5;2019;12;29;E;062.3;071.0;063.9;059.8;055.7;051.9
5;2019;12;29;N;054.9;063.1;058.1;051.3;044.1;041.8
5;2019;12;29;T;059.5;066.9;062.1;057.0;047.6;042.6
6;2019;12;29;D;068.6;075.3;072.5;065.9;060.0;054.3
6;2019;12;29;E;070.1;076.5;073.2;067.5;063.6;060.3
6;2019;12;29;N;068.0;074.9;071.8;065.5;059.7;053.3
6;2019;12;29;T;068.7;075.2;072.4;066.0;060.3;054.0
8;2019;12;29;D;064.7;071.5;067.2;062.7;056.8;048.8
8;2019;12;29;E;065.5;071.8;067.8;063.7;059.9;056.3
8;2019;12;29;N;063.9;071.0;067.6;062.2;054.7;047.3
8;2019;12;29;T;064.6;071.4;067.5;062.7;056.4;048.3
10;2019;12;29;D;064.4;071.7;066.6;059.0;052.5;047.5
10;2019;12;29;E;063.0;071.6;066.7;060.3;055.3;051.0
10;2019;12;29;N;059.4;069.4;063.3;054.7;046.8;043.2
10;2019;12;29;T;063.0;071.2;065.9;058.1;050.1;044.4
11;2019;12;29;D;065.1;071.2;068.4;063.5;055.9;048.1
11;2019;12;29;E;065.8;071.6;068.7;064.6;058.3;054.0
11;2019;12;29;N;063.1;070.1;066.6;059.0;049.8;045.5
11;2019;12;29;T;064.5;071.0;068.0;062.5;053.1;046.6
12;2019;12;29;D;060.7;068.2;062.7;058.6;053.8;049.6
12;2019;12;29;E;062.2;070.0;063.4;060.0;056.6;053.8
12;2019;12;29;N;058.0;064.6;060.4;055.8;049.4;045.1
12;2019;12;29;T;060.2;067.6;062.4;058.1;052.2;046.6
13;2019;12;29;D;057.6;064.1;058.0;053.8;051.1;050.1
13;2019;12;29;E;059.8;065.3;058.9;055.1;052.2;051.0
13;2019;12;29;N;053.3;060.4;055.7;051.7;050.2;050.0
13;2019;12;29;T;057.2;063.4;057.7;053.3;050.6;050.0
14;2019;12;29;D;063.0;068.9;064.9;061.9;057.6;053.3
14;2019;12;29;E;063.3;069.5;065.0;062.5;059.5;057.2
14;2019;12;29;N;060.8;066.8;063.3;058.9;053.3;049.5
14;2019;12;29;T;062.4;068.4;064.6;061.3;055.7;051.1
16;2019;12;29;D;059.5;066.7;062.7;057.1;046.3;042.2
