district_id,district,street_type,street_details,location,location_id,green_area_ZV_road_trees_AV,specie,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Válgame Dios,1,AV,Acer monspessulanum,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Ventura de la Vega,3,AV,Cercis siliquastrum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Ventura de la Vega,2,AV,Ligustrum japonicum,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Zaragoza,2,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Zorrilla,31,AV,Prunus cerasifera pissardii,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Alberto Aguilera,,ZV,Gleditsia triacanthos,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Parque,de,Atenas,,ZV,Morus alba,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Barceló-Jardineras,,ZV,Laurus nobilis,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,,Carmen,,ZV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Parque,del,Casino de la Reina,,ZV,Prunus cerasifera pissardii,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,de las,Comendadoras,,ZV,Celtis australis,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,de las,Comendadoras,,ZV,Pinus pinea,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Parque,de la,Cornisa,,ZV,Acer platanoides,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,de,Cristino Martos,,ZV,Hibiscus syriacus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Gran Vía de San Francisco,,ZV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,de,Jacinto Benavente,,ZV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,,La Ventosa,,ZV,Albizia julibrissin,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,,La Ventosa,,ZV,Liquidambar styraciflua,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Jardines,de,Larra,,ZV,Ginkgo biloba,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,,,Mercado Puerta de Toledo,,ZV,Acer negundo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,,,Mercado Puerta de Toledo,,ZV,Celtis australis,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Sagasta,,ZV,Gleditsia triacanthos,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,,San Ildefonso ,,ZV,Pyrus calleryana,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,de,Vázquez de Mella,,ZV,Fraxinus excelsior,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,de la,Villa de París,,ZV,Platanus x hybrida,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Jardín,de las,Vistillas,,ZV,Acer platanoides 'Crimson King',3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Jardín,de las,Vistillas,,ZV,Liriodendron tulipifera,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,de,Chueca,,ZV ,Aesculus hippocastanum,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,,Corrala Sombrerete,,ZV ,Acer negundo,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,,Corrala Sombrerete,,ZV ,Celtis australis,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,del,Dos de Mayo,,ZV ,Acer saccharinum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,,Ministriles Chica,,ZV ,Melia azedarach,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,,Nelson Mandela,,ZV ,Pyrus calleryana,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,,Paloma -Icona,,ZV ,Prunus cerasifera pissardii,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,de,Santa Barbara,,ZV ,Acer saccharinum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,de,Santa Barbara,,ZV ,Cercis siliquastrum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,de,Santa Barbara,,ZV ,Platanus x hybrida,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,de,Soledad Torres Acosta,,ZV ,Aesculus hippocastanum,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,Arganzuela,Calle,,Áncora,,AV,Sophora japonica,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,Arganzuela,Calle,,Embajadores,,AV,Celtis australis,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,Arganzuela,Calle,,Embajadores,,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,Arganzuela,Paseo,,Imperial,,AV,Sophora japonica,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,Arganzuela,Calle,,Jaime el Conquistador,,AV,Celtis australis,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,Arganzuela,Paseo,,Juan Antonio Vallejo  - Nágera Botas,,AV,Pistacia chinensis,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,Arganzuela,Avenida,del,Planetario,,AV,Celtis australis,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,Arganzuela,Ronda,de,Segovia,,AV,Sophora japonica,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,Arganzuela,Calle,de,Toledo,,AV,Pinus pinea,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,Arganzuela,Calle,,Concejal Benito Martín Lozano,,ZV,Cedrus atlantica,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,Arganzuela,Calle,,Concejal Benito Martín Lozano,,ZV,Fraxinus excelsior,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,Arganzuela,Plaza,,Fray Luis de León-Palos de la Frontera,,ZV,Liquidambar styraciflua,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,Arganzuela,Plaza,del,Mercado ,,ZV,Pyrus calleryana,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,Arganzuela,Calle,,Valdelaguna,,ZV,Fraxinus excelsior,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,Arganzuela,Calle,,Valdelasierra,,ZV,Melia azedarach,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,Arganzuela,Calle,,Valdelasierra,,ZV,Morus alba,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,Arganzuela,Calle,,Valdelasierra,,ZV,Tamarix gallica,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,Arganzuela,Polígono,,Yeserías,,ZV,Celtis australis,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,Arganzuela,Polígono,,Yeserías,,ZV,Hibiscus syriacus,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,Retiro,Calle,,Alcalde Sainz de Baranda,,AV,Celtis australis,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,Retiro,Calle,,Alcalde Sainz de Baranda,,AV,Sophora japonica,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
