CODBAR,NOMBRE,Interpolate,air_qualityInterpolate,carbon_monoxideInterpolate,rainfallInterpolate,solar_radiationInterpolate,temperatureInterpolate,trees_densitytrees_density
"054",Hispanoam�rica,65.0103748490,37.6857783720,0.3292452151,4.2823099419,201.4312800100,15.6189068470,2844.33759090877
"162",Piovera,60.7889118110,32.3649430380,0.3045938025,3.3477551104,199.0422391900,15.1453190940,1638.02989683334
"157",Colina,63.2076063390,35.8821611400,0.3144008328,3.1410204201,202.9874632300,14.3256348400,2663.81323341447
"066",Berruguete,63.2488029650,36.3486783290,0.3434402400,6.0129842228,198.8425528800,15.7834460850,571.760755820022
"211",Alameda de Osuna,58.8032626970,35.3476198990,0.3150625538,3.5571431518,197.9521508600,15.3768363720,1313.71103148087
"063",Castillejos,64.2663822170,36.6055539450,0.3396377044,5.6808940196,199.6616510100,15.8702459520,2526.33294723031
"097",Aravaca,60.0197015300,32.2429043830,0.3239649891,4.5531291502,199.3595105800,15.1895898500,1507.03913283606
"158",Atalaya,63.3073681730,35.7818163700,0.3146088602,3.2796713246,202.8550352200,14.4675360290,3045.30713939901
"055",Nueva Espa�a,64.3997739060,36.7814477840,0.3260924333,4.4532935657,201.4219000100,15.4345666770,1806.50769401663
"163",Canillas,61.6170267290,33.4308795610,0.3077563673,3.2317323749,201.1804601600,14.6396932660,1883.19037755646
"215",Corralejos,59.2504348200,30.3812371050,0.3117207140,3.2252644601,196.1884403800,15.3115534780,542.996373145087
"094",Valdezarza,62.0165371890,35.6795518450,0.3380474081,5.7591176552,198.1527514900,14.8617869100,1993.92346392032
"065",Valdeacederas,62.5744337390,35.9181484130,0.3355542866,6.7086705424,198.5957993500,15.2590047790,3088.20217712385
"064",Almenara,63.6342974080,36.1419603030,0.3321055823,6.3592191140,199.3548276700,15.4608922350,1780.36016924886
"095",Valdemar�n,60.2364678000,31.6374625760,0.3295360020,4.7278961301,199.2622563000,15.1840330430,733.103120688636
"213",Casco Hist�rico de Barajas,60.1271144470,35.8988492870,0.3172936083,3.7923551420,198.9100811000,15.4142250670,1234.22917900143
