name_barrios,noise_pollution,pm_10,carbon_monoxide,rainfall,solar_radiation,temperature,trees_density,mpi_index
Valdeacederas,105.03,99.75,100.91,129.73,94.38,95.87,92.81,104.2
Almenara,110.92,100.5,97.77,124.85,96.64,97.97,103.77,105.62
Valdemarin,92.07,85.04,97.77,102.1,96.37,95.03,112.54,98.03
Casco Historico de Barajas,91.45,99.68,94.64,88.98,95.31,97.45,108.34,96.96
Ciudad Universitaria,97.24,94.04,100.91,100.42,93.51,91.04,117.28,99.98
El Plantio,92.73,85.0,97.77,102.1,97.99,96.71,114.03,98.85
Pinar del Rey,100.46,91.67,88.37,82.97,103.2,90.1,95.6,93.73
Apostol Santiago,102.58,92.26,88.37,85.49,105.31,90.52,94.78,94.75
Castilla,108.59,97.44,94.64,104.89,101.24,97.13,106.92,101.84
Costillares,104.41,93.46,88.37,91.91,104.13,93.46,94.73,96.17
Pilar,94.51,98.92,97.77,147.46,92.63,86.53,90.05,105.43
Penagrande,96.52,95.97,97.77,111.17,92.51,85.58,100.82,97.82
La Paz,100.02,94.56,97.77,132.25,95.64,94.61,99.71,103.86
Fuentelareina,96.18,90.78,97.77,111.17,94.02,92.2,112.05,99.95
Timon,90.06,90.64,91.51,84.79,90.95,96.82,109.02,94.04
Aeropuerto,89.56,98.24,94.64,92.05,98.2,97.76,118.51,99.33
Valdefuentes,96.52,88.27,88.37,90.93,97.72,96.08,110.5,96.1
Mirasierra,93.79,89.16,97.77,123.31,94.11,91.46,109.13,101.31
Valverde,89.17,79.47,88.37,110.89,98.68,96.4,107.06,96.99
El Goloso,92.68,84.49,94.64,111.03,97.39,96.19,117.4,100.4
El Pardo,91.01,77.68,97.77,105.17,97.9,95.35,118.6,99.25
Casco historico de Vicalvaro,101.47,98.82,94.64,97.07,117.2,98.08,115.07,103.99
El Canaveral,96.18,97.65,94.64,96.51,109.07,98.08,118.69,102.33
